mechanism,revenue_strategic_norm_tpch,surplus_strategic_norm_tpch,welfare_strategic_norm_tpch,served_strategic_tpch,mono_violation_rate_tpch,comb_violation_rate_tpch,comb_max_gain_tpch,generalization_gap_tpch,revenue_strategic_norm_sqlshare,surplus_strategic_norm_sqlshare,welfare_strategic_norm_sqlshare,served_strategic_sqlshare,mono_violation_rate_sqlshare,comb_violation_rate_sqlshare,comb_max_gain_sqlshare,generalization_gap_sqlshare
uniform,0.4658128871817032,0.6841380141545202,1.1499509013362235,0.5245,0.0,0.0,0.0,0.10158797418308636,0.6003372284127118,0.795300644278047,1.3956378726907588,0.3731875,0.0,0.0,0.0,-0.10793318387994537
size_proportional,0.18280847591937358,1.2051486551017376,1.3879571310211112,0.9803750000000001,0.0,0.0,1.6431810987217127e-16,0.07201226478046521,0.37160224155011046,1.2810957813034898,1.6526980228536003,0.942,0.0,0.0,0.0,-0.1390656573037195
compute_metered,0.3585715463783792,0.771184629984349,1.1297561763627282,0.5751875,0.15009560229445507,0.01358695652173913,0.18112194487434616,0.09653278918836491,0.2447597656774812,1.4552479172595356,1.700007682937017,0.9185000000000001,0.4090233019335646,0.36036036036036034,0.9894593958476788,-0.4102472867678898
monopoly_per_asset,0.4661463237506148,0.5862405233079199,1.0523868470585347,0.5341875,0.22380497131931168,0.16779891304347827,0.9150532665342925,0.5369831880902203,0.5372761435759886,0.9147704045899125,1.4520465481659013,0.6341249999999999,0.33606841844323254,0.3490990990990991,0.957890730287,0.47040758884223494
monotone_constrained,0.47269850494254123,0.4085956507806504,0.8812941557231916,0.43075,0.0,0.02798913043478261,0.574275764725898,0.470039892349334,0.434294395550803,0.6586852286249983,1.0929796241758012,0.2596875,0.0,0.00045045045045045046,0.06927177955794,0.41112050210887163
qirana_weighted_coverage,0.18146386212130877,1.1949259369071206,1.3763897990284293,0.9809374999999999,0.0,0.0,2.1545183134801692e-16,0.13506205783929137,0.3630092241785073,1.1462908518541677,1.509300076032675,0.604375,0.006445215666831929,0.009009009009009009,1.0,-0.05960982167975255
qirana_uniform_gain,0.18146386212130877,1.1949259369071206,1.3763897990284293,0.9809374999999999,0.0,0.0,2.1545183134801692e-16,0.13506205783929137,0.3630092241785073,1.1462908518541677,1.509300076032675,0.604375,0.006445215666831929,0.009009009009009009,1.0,-0.059609821679752505
qirana_shannon,0.20844072132377342,1.1591631735585337,1.367603894882307,0.97325,0.0,0.0,0.0,0.09309315585530717,0.3684781988738805,1.1423369555599894,1.51081515443387,0.6054999999999999,0.006445215666831929,0.009009009009009009,1.0,-0.06668938731171611
querymarket_viewcover,0.19619735073967032,1.174973445231903,1.3711707959715733,0.9808125000000001,0.0,0.0,1.9701279530689094e-16,0.08294982890187208,0.08771232106429357,1.6184910950470797,1.7062034161113733,0.8460000000000001,0.0009915716410510659,0.0,0.0,0.09074103457715044
chawla_ubp,0.47575668173160085,0.6077031004308082,1.083459782162409,0.4581875,0.0,0.0,0.0,0.10819492032507574,0.6086999684902139,0.6802509805550877,1.2889509490453015,0.3201875,0.0,0.0,0.0,-0.051436974855404924
chawla_uip,0.38776875040300623,0.6680698080460713,1.0558385584490775,0.7340625000000001,0.0,0.0,3.672019079133759e-16,0.16342522521794278,0.43978362114209163,0.7970420669095197,1.2368256880516113,0.496375,0.006445215666831929,0.009009009009009009,1.0,0.08053247644627194
chawla_lpip,0.1144814578361549,1.2072351421505587,1.3217165999867135,0.935875,0.0,0.0,1.46474565039702e-17,0.6666396948701053,0.4791758594790833,0.9701997076940131,1.4493755671730963,0.7375,0.0020079325731284085,0.0045045045045045045,0.5,0.05000031791434967
chawla_cip,0.22969955415557325,0.8352944109293873,1.0649939650849605,0.7530625,0.0,0.0,1.2741176750104653e-16,0.42826886898929617,0.47979948300993713,0.8716469414769964,1.3514464244869335,0.6410625000000001,0.006197322756569162,0.004054054054054054,0.9,0.022216916309115608
chawla_layering,0.11919532742070063,0.9288933518955831,1.0480886793162836,0.8229374999999999,0.0,0.0,4.4292152033662135e-17,0.4915734511325664,0.21896656124219316,0.8289541711488365,1.0479207323910296,0.6524375,0.0008676251859196826,0.005855855855855856,0.8,0.0671606165885558
chawla_xos,0.23030167660736334,0.8227093420625756,1.0530110186699388,0.74475,0.0,0.0,1.1767134814866664e-16,0.42048473654932306,0.5142439404725347,0.7550036423391114,1.2692475828116463,0.5547500000000001,0.005875061973227565,0.006306306306306306,0.9,0.0004434421936949318
