mechanism,revenue_strategic_norm,surplus_strategic_norm,welfare_strategic_norm,served_strategic,mono_violation_rate,comb_violation_rate,comb_max_gain,generalization_gap
uniform,0.4658128871817032,0.6841380141545202,1.1499509013362235,0.5245,0.0,0.0,0.0,0.10158797418308636
size_proportional,0.18280847591937358,1.2051486551017376,1.3879571310211112,0.9803750000000001,0.0,0.0,1.6431810987217127e-16,0.07201226478046521
compute_metered,0.3585715463783792,0.771184629984349,1.1297561763627282,0.5751875,0.15009560229445507,0.01358695652173913,0.18112194487434616,0.09653278918836491
monopoly_per_asset,0.4661463237506148,0.5862405233079199,1.0523868470585347,0.5341875,0.22380497131931168,0.16779891304347827,0.9150532665342925,0.5369831880902203
monotone_constrained,0.47269850494254123,0.4085956507806504,0.8812941557231916,0.43075,0.0,0.02798913043478261,0.574275764725898,0.470039892349334
qirana_weighted_coverage,0.18146386212130877,1.1949259369071206,1.3763897990284293,0.9809374999999999,0.0,0.0,2.1545183134801692e-16,0.13506205783929137
qirana_uniform_gain,0.18146386212130877,1.1949259369071206,1.3763897990284293,0.9809374999999999,0.0,0.0,2.1545183134801692e-16,0.13506205783929137
qirana_shannon,0.20844072132377342,1.1591631735585337,1.367603894882307,0.97325,0.0,0.0,0.0,0.09309315585530717
querymarket_viewcover,0.19619735073967032,1.174973445231903,1.3711707959715733,0.9808125000000001,0.0,0.0,1.9701279530689094e-16,0.08294982890187208
chawla_ubp,0.47575668173160085,0.6077031004308082,1.083459782162409,0.4581875,0.0,0.0,0.0,0.10819492032507574
chawla_uip,0.38776875040300623,0.6680698080460713,1.0558385584490775,0.7340625000000001,0.0,0.0,3.672019079133759e-16,0.16342522521794278
chawla_lpip,0.1144814578361549,1.2072351421505587,1.3217165999867135,0.935875,0.0,0.0,1.46474565039702e-17,0.6666396948701053
chawla_cip,0.22969955415557325,0.8352944109293873,1.0649939650849605,0.7530625,0.0,0.0,1.2741176750104653e-16,0.42826886898929617
chawla_layering,0.11919532742070063,0.9288933518955831,1.0480886793162836,0.8229374999999999,0.0,0.0,4.4292152033662135e-17,0.4915734511325664
chawla_xos,0.23030167660736334,0.8227093420625756,1.0530110186699388,0.74475,0.0,0.0,1.1767134814866664e-16,0.42048473654932306
