seed,mechanism,arbitrage_free_by_design,n_queries,n_rows,n_determinacy_pairs,revenue_train,revenue_naive,revenue_strategic,leakage,served_naive,served_strategic,surplus_strategic,welfare_strategic,mono_violation_rate,mono_max_excess,sep_violation_rate,sep_mean_gain,sep_max_gain,price_mean,price_cv,fit_time_s,audit_time_s,lattice_time_s,plans_checked,plans_failed,revenue_naive_norm,revenue_strategic_norm,revenue_train_norm,generalization_gap
0,uniform,True,70,6000,267,10785.132483873625,7422.965677159986,7422.965677159986,0.0,0.2125,0.2125,6021.364486997546,13444.33016415753,0.0,0.0,0.0,0.0,0.0,43.664503983294054,3.2545553982793547e-16,0.0015972999999576132,0.44178999999985535,1.7654555999997683,0,0,0.4882436457774762,0.4882436457774762,0.7093892971002154,0.31174089068825905
0,compute_metered,False,70,6000,267,11937.641796723088,9122.800019392007,9170.179509961197,-0.0051935250656023335,0.7725,0.7775,11503.04899202897,20673.22850199017,0.0,0.0,0.17142857142857143,0.0758634557715363,0.21321659300018758,18.52960677644462,1.1827018164824443,0.033785599999646365,2.530769300000429,1.7654555999997683,8,0,0.6000498095891686,0.60316618331588,0.785195298794326,0.23579546322991218
0,demand_catalog,False,70,6000,267,9171.410023272902,6155.832651377026,6128.140647794704,0.004498498440520082,0.58125,0.695,16603.9716837143,22732.112331509,0.4344569288389513,2.8569662968297123,0.6285714285714286,0.3751781768789432,0.7407288726318495,17.120404126432305,0.5529960077710836,0.0018008000006375369,1.9894429000005402,1.7654555999997683,8,0,0.4048982990386484,0.4030768646718538,0.6032471200104053,0.32880193604295305
0,version_chain,False,70,6000,267,11299.11923835842,8352.719445557743,8352.719445557743,0.0,0.29875,0.29875,7324.085790741259,15676.805236299002,0.0,0.0,0.0,0.0,0.0,32.174078833587394,0.3439287712728057,0.01385149999987334,0.7677448000004006,1.7654555999997683,0,0,0.5493979592016421,0.5493979592016421,0.7431966428169211,0.26076366933080897
0,support_set,True,70,6000,267,11599.19502148642,9047.17126359581,9047.17126359581,0.0,0.82625,0.82625,13641.011047086673,22688.18231068248,0.0,0.0,0.0,3.99622451400049e-15,1.9313100723035905e-14,15.50393198276346,1.0352290599838712,0.6856558999998015,2.5110137000001487,1.7654555999997683,0,0,0.5950753477552461,0.5950753477552461,0.7629340497693402,0.2200173161295439
0,envyfree_mono,False,70,6000,267,14858.666274616367,8386.741524423,8411.392885651621,-0.002939325262002468,0.4,0.40375,6377.480152126044,14788.873037777666,0.0,0.0,0.014285714285714285,0.0020967426515054836,0.27359680385258683,28.016085508395935,0.8493938937235388,0.42147170000043843,2.250792399999227,1.7654555999997683,1,0,0.5516357526314586,0.553257189534592,0.9773249276406654,0.4355656578174588
0,monopoly_free,False,70,6000,267,15203.404573427066,8050.465762344227,8335.419433393563,-0.03539592359763777,0.335,0.35125,5896.5577841994955,14231.97721759306,0.07865168539325842,1.4301672188578498,0.15714285714285714,0.026353984134373697,0.5885056829669572,33.3637190839074,0.8612107734480283,0.0009587999993527774,2.2138269999995828,1.7654555999997683,8,0,0.5295173014349073,0.5482600553801246,1.0,0.4704826985650927
1,uniform,True,70,6000,286,8791.969219233659,8115.663894677222,8115.663894677222,0.0,0.33,0.33,11127.497261112916,19243.161155790138,0.0,0.0,0.0,0.0,0.0,30.741151116201607,1.155686612180278e-16,0.0017963000000236207,0.5675804000002245,1.4410382999994908,0,0,0.6311470142502043,0.6311470142502043,0.6837425987710547,0.0769230769230771
1,compute_metered,False,70,6000,286,9255.592705464765,9388.588723886296,9218.364259197631,0.018130996009611322,0.88875,0.89125,14259.95621045724,23478.32046965487,0.0,0.0,0.18571428571428572,0.04041633291227047,0.2177325168067199,15.68056059952188,1.400694856898776,0.05660570000054577,2.1398730000000796,1.4410382999994908,8,0,0.7301410972662816,0.7169029119452933,0.7197981307482907,-0.01436926004133765
1,demand_catalog,False,70,6000,286,9133.565513380025,7566.31387130176,7702.351345111196,-0.01797935905426984,0.52125,0.60125,15595.680751682798,23298.03209679399,0.2062937062937063,4.117137535968849,0.4142857142857143,0.26091459835425673,0.8045782445809001,19.66654152337054,0.5810977688974978,0.0022951999999349937,1.8644428999996308,1.4410382999994908,8,0,0.5884246157463549,0.5990041131892293,0.7103081988165194,0.1715925330345912
1,version_chain,False,70,6000,286,9361.044356642604,9089.729784877723,9089.729784877723,0.0,0.4675,0.4675,11891.319666299398,20981.04945117712,0.0,0.0,0.0,0.0,0.0,26.27252258128929,0.3025894071229193,0.013443200000438082,0.8178122999997868,1.4410382999994908,0,0,0.706899138323039,0.706899138323039,0.7279989995437934,0.028983365683162843
1,support_set,True,70,6000,286,10164.816244969272,10151.65944684243,10151.65944684244,-8.881784197001252e-16,0.80875,0.80875,12641.889108420624,22793.548555263063,0.0,0.0,0.0,0.0,0.0,19.078198184161433,1.1536908870981661,0.635448500000166,2.4375469999995403,1.4410382999994908,0,0,0.7894843395081614,0.7894843395081622,0.790507530458725,0.001294346873545571
