family,seed,mechanism,revenue_train,revenue_naive,revenue_strategic,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,served_naive,served_strategic,surplus_strategic,mono_violation_rate,mono_max_excess,sep_violation_rate,sep_mean_gain,sep_max_gain,plans_checked,plans_failed,multi_source_plans
answer_cells,0,uniform,1852.356783919598,1720.7419597989951,1720.7419597989951,0.5644085416859025,0.5243058295134831,0.5243058295134831,0.07105263157894726,0.0,0.44125,0.44125,2341.5257227900734,0.0,0.0,0.0,0.0,0.0,0,0,55
answer_cells,0,size_proportional,800.4651162790699,938.139534883721,938.139534883721,0.24389974591909733,0.2858488015797904,0.2858488015797904,-0.17199302730970367,0.0,0.995,0.995,4305.769914969353,0.0,0.0,0.0,9.883973097076962e-19,1.818651049862161e-16,0,0,67
answer_cells,0,compute_metered,1754.9951122329533,1707.2489406517193,1704.9405864657283,0.5347426805462994,0.5201945398710314,0.5194911900460302,0.027205871542562043,0.0013520899799825384,0.59625,0.59625,2468.047737992297,0.15009560229445507,4.816270720447447,0.01358695652173913,0.0013730186735621023,0.18112194487434624,5,0,60
answer_cells,0,qirana_weighted_coverage,595.2,758.55,758.55,0.18135597144552612,0.23112831340726447,0.23112831340726447,-0.2744455645161288,0.0,0.97,0.97,4402.147990540029,0.0,0.0,0.0,4.818810442026913e-18,2.1930331350620372e-16,0,0,55
answer_cells,0,qirana_uniform_gain,595.2,758.55,758.55,0.18135597144552612,0.23112831340726447,0.23112831340726447,-0.2744455645161288,0.0,0.97,0.97,4402.147990540029,0.0,0.0,0.0,4.818810442026913e-18,2.1930331350620372e-16,0,0,55
answer_cells,0,qirana_shannon,674.2162115947872,837.6719718686836,837.6719718686836,0.20543201615943382,0.255236583015683,0.255236583015683,-0.24243819336123518,0.0,0.96125,0.96125,4308.059220953021,0.0,0.0,0.0,0.0,0.0,0,0,55
answer_cells,0,querymarket_viewcover,603.7273552105698,772.9897395777356,772.9897395777355,0.1839542355383923,0.23552806642900617,0.23552806642900614,-0.28036229086907927,1.4707418727669042e-16,0.97,0.97,4388.453068546836,0.0,0.0,0.0,5.515846194984613e-18,1.9701279530689096e-16,0,0,55
answer_cells,0,monopoly_per_asset,3281.943215080625,1751.587473424437,1814.6144095346049,1.0,0.5337043814091119,0.5529085333336661,0.4662956185908881,-0.03598275111373531,0.45375,0.4825,2198.0665861622947,0.20076481835564053,29.16081369915661,0.14673913043478262,0.05940432125654389,0.8620284126211376,54,0,66
answer_cells,0,monotone_constrained,3020.5744023877633,1830.9462460758564,1893.122505035653,0.9203615676554474,0.5578848036317645,0.5768297563275012,0.3938416995692958,-0.033958538702626974,0.385,0.3875,1382.2208888572982,0.0,0.0,0.024456521739130436,0.007768560416161935,0.6298996470023296,9,0,71
answer_cells,1,uniform,1585.7384924623111,1743.9527638190948,1743.9527638190948,0.4965462197475762,0.5460882462076517,0.5460882462076517,-0.09977324263038545,0.0,0.60625,0.60625,2598.750329346205,0.0,0.0,0.0,0.0,0.0,0,0,55
answer_cells,1,size_proportional,920.9302325581397,815.3488372093025,815.3488372093025,0.2883731635459867,0.2553121998465226,0.2553121998465226,0.11464646464646466,0.0,0.995,0.995,4227.584317993838,0.0,0.0,0.0,9.883973097076962e-19,1.818651049862161e-16,0,0,67
answer_cells,1,compute_metered,1305.7100252205191,1548.8395577772958,1546.249277858129,0.40886021257074995,0.4849919649838497,0.48418086422034795,-0.1862048447669038,0.0016724004149816423,0.5675,0.5675,2420.9306496873987,0.15009560229445507,4.816270720447448,0.01358695652173913,0.0013730186735621027,0.18112194487434619,5,0,60
answer_cells,1,qirana_weighted_coverage,853.5,964.2,964.2,0.2672585678969567,0.3019223329422913,0.3019223329422913,-0.12970123022847102,0.0,0.97,0.97,4013.752042318612,0.0,0.0,0.0,4.818810442026913e-18,2.1930331350620372e-16,0,0,55
answer_cells,1,qirana_uniform_gain,853.5,964.2,964.2,0.2672585678969567,0.3019223329422913,0.3019223329422913,-0.12970123022847102,0.0,0.97,0.97,4013.752042318612,0.0,0.0,0.0,4.818810442026913e-18,2.1930331350620372e-16,0,0,55
