seed,mechanism,arbitrage_free_by_design,n_queries,n_rows,n_determinacy_pairs,revenue_train,revenue_naive,revenue_strategic,leakage,served_naive,served_strategic,surplus_strategic,welfare_strategic,mono_violation_rate,mono_max_excess,sep_violation_rate,sep_mean_gain,sep_max_gain,price_mean,price_cv,fit_time_s,audit_time_s,lattice_time_s,plans_checked,plans_failed,n_queries_target
0,support_set,True,20,6000,19,8477.162109315606,3760.045562342527,3760.045562342527,0.0,0.54125,0.54125,2732.2242732177265,6492.269835560253,0.0,0.0,0.0,0.0,0.0,14.371340780334739,1.9656707183270274,0.0888595999995232,0.11533109999982116,0.1598401000001104,0,0,20
0,compute_metered,False,20,6000,19,7956.375069745518,3137.198473213588,3137.198473213588,0.0,0.89875,0.89875,5710.128146842263,8847.32662005585,0.0,0.0,0.0,0.0,0.0,9.926689520882615,2.886255009708457,0.01359390000015992,0.13097089999973832,0.1598401000001104,0,0,20
0,support_set,True,40,6000,65,5581.502519336004,6144.153881826302,6144.153881826291,1.7763568394002505e-15,0.84375,0.84375,8546.811456307762,14690.965338134052,0.0,0.0,0.0,1.0995843853986635e-15,1.6182267483020374e-14,14.915057190783472,1.4099694531826283,0.21623369999997522,0.6302913999998054,0.363043800000014,0,0,40
0,compute_metered,False,40,6000,65,4751.402406590947,5740.538494116204,5710.574833355884,0.0052196602794374325,0.8,0.8025,7696.442975208316,13407.0178085642,0.0,0.0,0.125,0.021037434251523313,0.2132165930001877,19.366063350372773,1.7392055174412728,0.017087199999878067,0.6234088999999585,0.363043800000014,0,0,40
0,support_set,True,70,6000,267,11599.19502148642,9047.17126359581,9047.17126359581,0.0,0.82625,0.82625,13641.011047086673,22688.18231068248,0.0,0.0,0.0,3.99622451400049e-15,1.9313100723035905e-14,15.50393198276346,1.0352290599838712,0.4561660999997912,2.458833899999263,1.525055500000235,0,0,70
0,compute_metered,False,70,6000,267,11937.641796723088,9122.800019392007,9170.179509961197,-0.0051935250656023335,0.7725,0.7775,11503.04899202897,20673.22850199017,0.0,0.0,0.17142857142857143,0.0758634557715363,0.21321659300018758,18.52960677644462,1.1827018164824443,0.03404549999959272,2.846749700000146,1.525055500000235,0,0,70
0,support_set,True,110,6000,820,10409.749256281724,13793.592496577987,13793.592496577987,0.0,0.71625,0.71625,15216.923870046783,29010.516366624768,0.0,0.0,0.0,8.258773446568424e-17,6.229502902109337e-15,22.45428692948452,0.8934977190271153,1.1398704000002908,5.165406499999335,4.740974199999982,0,0,110
0,compute_metered,False,110,6000,820,9956.174671072247,13143.014643833183,13265.879986369797,-0.00934833794728096,0.72875,0.74375,15052.277119571612,28318.15710594141,0.0,0.0,0.3181818181818182,0.0710923909992628,0.2132165930001877,22.275993500100547,1.044963382204856,0.056689900000492344,5.05596609999975,4.740974199999982,0,0,110
0,support_set,True,150,6000,1317,11604.330518203627,11262.63245840175,11262.63245840175,0.0,0.7,0.7,12323.219977109879,23585.852435511628,0.0,0.0,0.0,8.842967388242109e-17,1.8431476189295596e-14,26.072441671680597,0.8288592973442842,1.2352255000005243,7.966370300000563,7.145077300000594,0,0,150
0,compute_metered,False,150,6000,1317,11173.152291889191,10841.1753106033,10874.67506454104,-0.0030900481707896166,0.82,0.83375,14736.254519092992,25610.92958363403,0.0,0.0,0.36,0.0558742849666851,0.21321659300018778,21.66246731919651,0.9679953708712802,0.10430799999994633,7.902566000000661,7.145077300000594,0,0,150
