family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,surplus_naive_norm,welfare_naive_norm,surplus_strategic_norm,welfare_strategic_norm,generalization_gap,mono_violation_rate,comb_violation_rate,comb_mean_gain,comb_max_gain,served_naive,served_strategic,plans_verified,plans_failed
answer_cells,0,uniform,0.5188267346326785,0.9004923785003959,0.9004923785003959,1.3983543112986005,2.2988466897989968,1.3983543112986005,2.2988466897989968,-0.735632183908046,0.0,0.0,0.0,0.0,0.18875,0.18875,0,0
answer_cells,0,size_proportional,0.5710210007721562,0.9722302424762579,0.9722302424762579,1.4475551521061152,2.4197853945823726,1.4475551521061152,2.4197853945823726,-0.7026173138318403,0.0,0.0,0.0,0.0,0.95875,0.95875,0,0
answer_cells,0,compute_metered,0.2537136927081379,0.3405202720096113,0.3396043948804123,2.2575865984990346,2.598106870508646,2.2591041833217367,2.598708578202149,-0.34214384874107795,0.4090233019335647,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.90375,0.9375,80,0
answer_cells,0,qirana_weighted_coverage,0.46719155240390886,0.675208833914198,0.675208833914198,1.7011328756360538,2.3763417095502515,1.7028941656997907,2.3781029996139886,-0.44525051970641893,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.445,0.45375,2,0
answer_cells,0,qirana_uniform_gain,0.4671915524039088,0.675208833914198,0.675208833914198,1.7011328756360538,2.3763417095502515,1.7028941656997907,2.3781029996139886,-0.44525051970641916,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.445,0.45375,2,0
answer_cells,0,qirana_shannon,0.4748746260389614,0.6858344662435599,0.6858344662435599,1.6905072433066914,2.3763417095502515,1.6922685333704288,2.3781029996139886,-0.4442432352392951,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.445,0.45375,2,0
answer_cells,0,querymarket_viewcover,0.019300354416096663,0.016853559377729206,0.016853559377729206,2.55736453323657,2.5742180926142995,2.55736453323657,2.5742180926142995,0.12677461696386305,0.0009915716410510659,0.0,0.0,0.0,0.845,0.845,0,0
answer_cells,0,monopoly_per_asset,1.0,1.041740123840856,1.0439655379949666,0.9058384814211287,1.9475786052619846,0.9162443276575015,1.9602098656524682,-0.0417401238408559,0.21170054536440258,0.3333333333333333,0.20425058029497262,0.9897470174455593,0.4525,0.55875,74,0
answer_cells,0,monotone_constrained,0.9690053550802463,1.0265466003692711,1.0277885841868761,0.8837749405582395,1.9103215409275105,0.8841530204754204,1.9119416046622966,-0.05938176191426692,0.0,0.0045045045045045045,0.0031068808124414932,0.6897275403620114,0.325,0.32875,1,0
answer_cells,0,chawla_ubp,0.5193870725215564,0.895494952623373,0.895494952623373,1.3973876623729449,2.292882614996318,1.3973876623729449,2.292882614996318,-0.7241379310344824,0.0,0.0,0.0,0.0,0.1875,0.1875,0,0
answer_cells,0,chawla_uip,0.645112201619397,0.9901250316777478,0.9901250316777478,0.9672329881645637,1.9573580198423115,0.9689942782283009,1.9591193099060487,-0.5348105789849893,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.355,0.36375,2,0
answer_cells,0,chawla_lpip,0.5356095374129313,0.7131895694838472,0.7131895694838472,1.7298827055399837,2.4430722750238307,1.7298827055399837,2.4430722750238307,-0.3315475540795114,0.0004957858205255329,0.0,0.0,0.0,0.7175,0.7175,0,1
answer_cells,0,chawla_cip,0.6214729785074025,0.9951059748277001,0.9950417230498155,1.0543970690141466,2.0495030438418467,1.0544613207920313,2.0495030438418467,-0.6012055378781802,0.014377788795240456,0.0045045045045045045,0.0045045045045045045,1.0,0.47375,0.47375,1,0
answer_cells,0,chawla_layering,0.18997442180566454,0.05763411366763498,0.05763411366763498,0.5325770004853859,0.5902111141530209,0.5325770004853859,0.5902111141530209,0.6966217182300882,0.001487357461576599,0.0,0.0,0.0,0.6975,0.6975,0,1
answer_cells,0,chawla_xos,0.6320618922030135,0.9958833379780863,0.9958833379780863,1.04478913503339,2.0406724730114765,1.0464091987681758,2.0422925367462623,-0.5756104746435438,0.013386217154189391,0.0045045045045045045,0.0045045045045045045,1.0,0.43,0.43375,1,0
answer_cells,1,uniform,0.4172566047194759,0.1925799714089888,0.1925799714089888,0.3043100706984248,0.4968900421074136,0.3043100706984248,0.4968900421074136,0.5384615384615385,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0
answer_cells,1,size_proportional,0.4996377211702839,0.28956801264688586,0.28956801264688586,0.751565790125603,1.0411338027724888,0.751565790125603,1.0411338027724888,0.42044405300576404,0.0,0.0,0.0,0.0,0.99625,0.99625,0,0
answer_cells,1,compute_metered,0.43679491330892595,0.1577111541573648,0.1565940311888879,0.8996640127404869,1.0573751668978517,0.901333835694557,1.0579278668834449,0.6389354606659016,0.4090233019335647,0.36036036036036034,0.13712952560541913,0.989459395847679,0.86625,0.88375,80,0
answer_cells,1,qirana_weighted_coverage,0.3655611339520872,0.20484746913943838,0.2046751836313312,0.4691773731794393,0.6740248423188777,0.4704563664174817,0.6751315500488129,0.4396355353075171,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.2425,0.24375,2,0
answer_cells,1,qirana_uniform_gain,0.3655611339520871,0.20484746913943838,0.20467518363133114,0.4691773731794393,0.6740248423188777,0.4704563664174817,0.6751315500488128,0.439635535307517,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.2425,0.24375,2,0
answer_cells,1,qirana_shannon,0.3648593798654949,0.20522003311649475,0.20504503177913774,0.4688048092023829,0.6740248423188776,0.470086518269675,0.6751315500488128,0.43753663893155514,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.2425,0.24375,2,0
answer_cells,1,querymarket_viewcover,0.0300263695611893,0.02829503354595533,0.02829503354595533,0.91252019482698,0.9408152283729353,0.91252019482698,0.9408152283729353,0.057660517756093044,0.0009915716410510659,0.0,0.0,0.0,0.58875,0.58875,0,0
answer_cells,1,monopoly_per_asset,1.0,0.2896983145295648,0.31120146107156366,0.5730914686550417,0.8627897831846064,0.6135888363777529,0.9247902974493164,0.7103016854704352,0.22211204759543876,0.32432432432432434,0.19865701984764067,0.986070581785773,0.38625,0.61625,72,0
answer_cells,1,monotone_constrained,0.9243959433699834,0.2790226775464387,0.2790226775464387,0.5422835970696431,0.821306274616082,0.5422835970696431,0.821306274616082,0.6981567481470852,0.0,0.0,0.0,0.0,0.22,0.22,0,0
answer_cells,1,chawla_ubp,0.4177236475908835,0.19279552965733082,0.19279552965733082,0.30409451245008284,0.4968900421074136,0.30409451245008284,0.4968900421074136,0.5384615384615385,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0
answer_cells,1,chawla_uip,0.4150736996392261,0.20076592072838134,0.2006478231279529,0.4035122270924339,0.6042781478208152,0.4048369292201253,0.6054847523480782,0.5163125948406677,0.006445215666831929,0.009009009009009009,0.009009009009009009,1.0,0.215,0.2175,2,0
answer_cells,1,chawla_lpip,0.43840221332753315,0.1466246235066277,0.1466246235066277,0.5594241093251365,0.7060487328317643,0.5594241093251365,0.7060487328317643,0.665547711555271,0.0009915716410510659,0.0,0.0,0.0,0.77,0.77,0,0
answer_cells,1,chawla_cip,0.45425501564132015,0.24972235279805546,0.24944506437126882,0.532721818919188,0.7824441717172435,0.5329991073459747,0.7824441717172435,0.45025955861930145,0.022310361923648984,0.0045045045045045045,0.0045045045045045045,1.0,0.4825,0.4825,1,0
answer_cells,1,chawla_layering,0.16515667918019017,0.10966140918205344,0.10966140918205344,0.38070343147715074,0.4903648406592042,0.38070343147715074,0.4903648406592042,0.3360158988035232,0.0009915716410510659,0.0,0.0,0.0,0.85375,0.85375,0,0
answer_cells,1,chawla_xos,0.4928371918836588,0.18854259139472146,0.18826530296793484,0.4750342979521799,0.6635768893469014,0.4753115863789666,0.6635768893469014,0.6174343282127344,0.02181457610312345,0.0045045045045045045,0.0045045045045045045,1.0,0.40875,0.40875,1,0
answer_cells,2,uniform,0.40210375944275095,0.7824721805372454,0.7824721805372454,1.0869148458652493,1.8693870264024948,1.0869148458652493,1.8693870264024948,-0.9459459459459467,0.0,0.0,0.0,0.0,0.09,0.09,0,0
answer_cells,2,size_proportional,0.45189443685077285,0.8585698971113624,0.8585698971113624,1.4760226354427277,2.3345925325540904,1.4760226354427277,2.3345925325540904,-0.8999346464512556,0.0,0.0,0.0,0.0,0.97375,0.97375,0,0
