family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed,multi_source
answer_cells,0,uniform,0.5188267346326785,0.9004923785003959,0.9004923785003959,-0.735632183908046,0.0,0.0,0.0,0.0,0.0,0.18875,0.18875,0,0,0
answer_cells,0,size_proportional,0.5710210007721562,0.9722302424762579,0.9722302424762579,-0.7026173138318403,0.0,0.0,0.0,0.0,0.0,0.95875,0.95875,0,0,0
answer_cells,0,support_set,0.018172617307680525,0.026412352138163172,0.02573101208604106,-0.45341486539752207,0.025796265647149413,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.875,0.90625,23,0,1
answer_cells,0,compute_metered,0.2537136927081379,0.3405202720096113,0.3396043948804123,-0.34214384874107795,0.002689640542672921,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.90375,0.9375,80,0,1
answer_cells,0,monopoly_per_asset,1.0,1.041740123840856,1.0439655379949666,-0.0417401238408559,-0.002136246942189028,0.2169027845627748,0.3333333333333333,0.20425058029497262,0.9897470174455593,0.4525,0.55875,74,0,1
answer_cells,0,monotone_constrained,0.9674858600128194,1.0257868528355576,1.0257868528355576,-0.06026030480896716,0.0,0.0,0.0,0.0,0.0,0.32375,0.32375,0,0,0
answer_cells,1,uniform,0.4172566047194759,0.1925799714089888,0.1925799714089888,0.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0,0
answer_cells,1,size_proportional,0.4996377211702839,0.28956801264688586,0.28956801264688586,0.42044405300576404,0.0,0.0,0.0,0.0,0.0,0.99625,0.99625,0,0,0
answer_cells,1,support_set,0.036960407362225264,0.02723327791243682,0.026500227293649696,0.263177008696335,0.02691745816071445,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.775,0.7925,23,0,1
answer_cells,1,compute_metered,0.43679491330892595,0.1577111541573648,0.1565940311888879,0.6389354606659016,0.007083347873811386,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.86625,0.88375,80,0,1
answer_cells,1,monopoly_per_asset,1.0,0.2896983145295648,0.31120146107156366,0.7103016854704352,-0.07422599809362852,0.22032242305813385,0.32432432432432434,0.19865701984764067,0.986070581785773,0.38625,0.61625,72,0,1
answer_cells,1,monotone_constrained,0.9243959433699834,0.2790226775464387,0.2790226775464387,0.6981567481470852,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0,0,0
answer_cells,2,uniform,0.40210375944275095,0.7824721805372454,0.7824721805372454,-0.9459459459459467,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0,0,0
answer_cells,2,size_proportional,0.45189443685077285,0.8585698971113624,0.8585698971113624,-0.8999346464512556,0.0,0.0,0.0,0.0,0.0,0.97375,0.97375,0,0,0
answer_cells,2,support_set,0.029141889087039193,0.03490932174711862,0.03439125342558123,-0.19790867513267973,0.014840400661183063,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.89125,0.9425,23,0,1
answer_cells,2,compute_metered,0.2770515941882171,0.6333369166903529,0.630978980502572,-1.2859890719852367,0.0037230360739160654,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.8975,0.93625,80,0,1
answer_cells,2,monopoly_per_asset,1.0,0.40507585265970847,0.4131529364223468,0.5949241473402915,-0.019939682184471397,0.2169027845627748,0.33783783783783783,0.1867477482344589,0.9728833925224779,0.41875,0.60875,75,0,0
