queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
4,4,3,0.011,0,4,1.33
4,4,1,0.0,0,4,4.0
4,4,2,0.113,0,4,2.0
4,3,1,0.011,2,4,4.0
4,2,1,0.008,0,4,4.0
4,4,48,0.483,0,4,0.08
4,2,1,0.107,0,4,4.0
4,3,1,0.0,3,4,4.0
4,3,1,0.001,0,4,4.0
4,4,4,0.0,0,4,1.0
4,3,1,0.0,0,4,4.0
3,3,1,0.0,0,3,3.0
3,3,4,0.0,0,2,0.75
3,2,1,0.0,0,3,3.0
3,2,1,0.001,0,3,3.0
3,2,2,0.005,0,3,1.5
3,3,2,0.001,0,2,1.5
3,3,1,0.0,1,3,3.0
3,3,3,0.0,0,3,1.0
3,3,1,0.016,0,3,3.0
3,3,1,0.002,0,3,3.0
3,2,2,0.012,0,3,1.5
3,3,3,0.001,0,3,1.0
3,1,1,0.0,0,3,3.0
3,3,1,0.035,0,3,3.0
3,2,1,0.0,0,3,3.0
3,2,1,0.0,0,3,3.0
3,3,1,0.002,0,3,3.0
3,3,2,0.0,3,3,1.5
3,3,1,0.0,0,3,3.0
3,1,1,0.0,0,3,3.0
3,1,1,0.0,0,3,3.0
3,2,1,0.0,0,3,3.0
3,1,1,0.0,0,3,3.0
3,3,1,0.0,0,3,3.0
3,3,1,0.014,0,3,3.0
3,3,1,0.027,0,3,3.0
3,3,1,0.0,0,3,3.0
3,3,1,0.0,2,3,3.0
3,3,5,0.001,0,3,0.6
3,1,2,0.002,0,3,1.5
3,3,1,0.01,2,3,3.0
3,2,2,0.011,0,3,1.5
3,3,1,0.014,0,3,3.0
3,3,6,0.255,0,3,0.5
3,3,2,0.0,0,3,1.5
3,2,2,0.002,0,3,1.5
3,3,1,0.001,0,3,3.0
3,3,1,0.0,0,3,3.0
3,2,1,0.0,0,3,3.0
3,2,1,0.001,0,3,3.0
3,1,1,0.014,0,3,3.0
3,3,2,0.0,2,3,1.5
3,3,4,0.009,0,3,0.75
3,3,1,0.061,0,3,3.0
