mechanism,revenue_strategic_norm,surplus_strategic_norm,welfare_strategic_norm,served_strategic,mono_violation_rate,comb_violation_rate,comb_max_gain,generalization_gap
uniform,0.6003372284127118,0.795300644278047,1.3956378726907588,0.3731875,0.0,0.0,0.0,-0.10793318387994537
size_proportional,0.37160224155011046,1.2810957813034898,1.6526980228536003,0.942,0.0,0.0,0.0,-0.1390656573037195
compute_metered,0.2447597656774812,1.4552479172595356,1.700007682937017,0.9185000000000001,0.4090233019335646,0.36036036036036034,0.9894593958476788,-0.4102472867678898
monopoly_per_asset,0.5372761435759886,0.9147704045899125,1.4520465481659013,0.6341249999999999,0.33606841844323254,0.3490990990990991,0.957890730287,0.47040758884223494
monotone_constrained,0.434294395550803,0.6586852286249983,1.0929796241758012,0.2596875,0.0,0.00045045045045045046,0.06927177955794,0.41112050210887163
qirana_weighted_coverage,0.3630092241785073,1.1462908518541677,1.509300076032675,0.604375,0.006445215666831929,0.009009009009009009,1.0,-0.05960982167975255
qirana_uniform_gain,0.3630092241785073,1.1462908518541677,1.509300076032675,0.604375,0.006445215666831929,0.009009009009009009,1.0,-0.059609821679752505
qirana_shannon,0.3684781988738805,1.1423369555599894,1.51081515443387,0.6054999999999999,0.006445215666831929,0.009009009009009009,1.0,-0.06668938731171611
querymarket_viewcover,0.08771232106429357,1.6184910950470797,1.7062034161113733,0.8460000000000001,0.0009915716410510659,0.0,0.0,0.09074103457715044
chawla_ubp,0.6086999684902139,0.6802509805550877,1.2889509490453015,0.3201875,0.0,0.0,0.0,-0.051436974855404924
chawla_uip,0.43978362114209163,0.7970420669095197,1.2368256880516113,0.496375,0.006445215666831929,0.009009009009009009,1.0,0.08053247644627194
chawla_lpip,0.4791758594790833,0.9701997076940131,1.4493755671730963,0.7375,0.0020079325731284085,0.0045045045045045045,0.5,0.05000031791434967
chawla_cip,0.47979948300993713,0.8716469414769964,1.3514464244869335,0.6410625000000001,0.006197322756569162,0.004054054054054054,0.9,0.022216916309115608
chawla_layering,0.21896656124219316,0.8289541711488365,1.0479207323910296,0.6524375,0.0008676251859196826,0.005855855855855856,0.8,0.0671606165885558
chawla_xos,0.5142439404725347,0.7550036423391114,1.2692475828116463,0.5547500000000001,0.005875061973227565,0.006306306306306306,0.9,0.0004434421936949318
