family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed
answer_cells,0,uniform,0.5188267346326785,0.9004923785003959,0.9004923785003959,-0.735632183908046,0.0,0.0,0.0,0.0,0.0,0.18875,0.18875,0,0
answer_cells,0,size_proportional,0.5710210007721562,0.9722302424762579,0.9722302424762579,-0.7026173138318403,0.0,0.0,0.0,0.0,0.0,0.95875,0.95875,0,0
answer_cells,0,compute_metered,0.2804039159159993,0.3426089262682246,0.3409593479849813,-0.22184073338997212,0.004814755707654618,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.84125,0.9,72,0
answer_cells,0,qirana_weighted_coverage,0.02327412970113337,0.018062136229644688,0.017757877062146758,0.2239393497594403,0.01684513745381677,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
answer_cells,0,qirana_uniform_gain,0.02327412970113337,0.018062136229644688,0.017757877062146758,0.2239393497594403,0.01684513745381677,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
answer_cells,0,qirana_shannon,0.02353739972148257,0.01826673590751595,0.017959045384807113,0.2239271914627039,0.01684430783182432,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96125,0.96125,2,0
answer_cells,0,querymarket_viewcover,0.026073775452503077,0.016015582546494867,0.016015582546494867,0.3857589755012877,0.0,0.05862237420615535,0.0,0.0,0.0,0.76875,0.76875,0,0
answer_cells,0,monopoly_per_asset,1.0,1.041740123840856,1.0439655379949666,-0.0417401238408559,-0.002136246942189028,0.2169027845627748,0.3333333333333333,0.20425058029497262,0.9897470174455593,0.4525,0.55875,74,0
answer_cells,0,monotone_constrained,0.9674858600128194,1.0257868528355576,1.0257868528355576,-0.06026030480896716,0.0,0.0,0.0,0.0,0.0,0.32375,0.32375,0,0
answer_cells,1,uniform,0.4172566047194759,0.1925799714089888,0.1925799714089888,0.5384615384615385,0.0,0.0,0.0,0.0,0.0,0.0225,0.0225,0,0
answer_cells,1,size_proportional,0.4996377211702839,0.28956801264688586,0.28956801264688586,0.42044405300576404,0.0,0.0,0.0,0.0,0.0,0.99625,0.99625,0,0
answer_cells,1,compute_metered,0.5059344409841466,0.18310210189955003,0.18185363890503292,0.6380912484562649,0.006818397940631014,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.66375,0.75625,72,0
answer_cells,1,qirana_weighted_coverage,0.04863568054777791,0.031623083400908476,0.03146235392204997,0.34979662986635673,0.00508266309204654,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87375,0.87375,2,0
answer_cells,1,qirana_uniform_gain,0.04863568054777791,0.031623083400908476,0.03146235392204997,0.34979662986635673,0.00508266309204654,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87375,0.87375,2,0
answer_cells,1,qirana_shannon,0.049184707230770223,0.03198044972983584,0.031817907296218695,0.3497887548707681,0.005082556217635019,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.87375,0.87375,2,0
answer_cells,1,querymarket_viewcover,0.03262441798460378,0.04077037026975699,0.04077037026975699,-0.24968881556745237,0.0,0.05862237420615535,0.0,0.0,0.0,0.59875,0.59875,0,0
answer_cells,1,monopoly_per_asset,1.0,0.2896983145295648,0.31120146107156366,0.7103016854704352,-0.07422599809362852,0.22032242305813385,0.32432432432432434,0.19865701984764067,0.986070581785773,0.38625,0.61625,72,0
answer_cells,1,monotone_constrained,0.9243959433699834,0.2790226775464387,0.2790226775464387,0.6981567481470852,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0,0
answer_cells,2,uniform,0.40210375944275095,0.7824721805372454,0.7824721805372454,-0.9459459459459467,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0,0
answer_cells,2,size_proportional,0.45189443685077285,0.8585698971113624,0.8585698971113624,-0.8999346464512556,0.0,0.0,0.0,0.0,0.0,0.97375,0.97375,0,0
answer_cells,2,compute_metered,0.3069023402641634,0.7479909291130142,0.7441251540032572,-1.4372278441056783,0.0051682112166001395,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.84375,0.90875,72,0
answer_cells,2,qirana_weighted_coverage,0.03348481132646613,0.037124756721360765,0.03683262088247162,-0.10870437224227847,0.007869030390738128,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97375,0.97375,2,0
answer_cells,2,qirana_uniform_gain,0.03348481132646613,0.037124756721360765,0.03683262088247162,-0.10870437224227847,0.007869030390738128,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97375,0.97375,2,0
answer_cells,2,qirana_shannon,0.03386347195646286,0.03735649740467507,0.03706106803614969,-0.10315024557148389,0.007908379774609151,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97125,0.97125,2,0
answer_cells,2,querymarket_viewcover,0.08482817600246795,0.017009303673422023,0.017009303673422023,0.7994852126382257,0.0,0.05862237420615535,0.0,0.0,0.0,0.7625,0.7625,0,0
answer_cells,2,monopoly_per_asset,1.0,0.40507585265970847,0.4131529364223468,0.5949241473402915,-0.019939682184471397,0.2169027845627748,0.33783783783783783,0.1867477482344589,0.9728833925224779,0.41875,0.60875,75,0
answer_cells,2,monotone_constrained,0.9617780476318601,0.3984739167568482,0.3984739167568482,0.5856903599141285,0.0,0.0,0.0,0.0,0.0,0.34125,0.34125,0,0
answer_cells,3,uniform,0.41487875797875096,0.5393423853723762,0.5393423853723762,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.04875,0.04875,0,0
answer_cells,3,size_proportional,0.4997204267200969,0.6366393986738415,0.6366393986738415,-0.2739911451136967,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0,0
answer_cells,3,compute_metered,0.22689466185284093,0.6228620238038362,0.6222898298290408,-1.7451594441116085,0.000918652852362094,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.7325,0.875,72,0
answer_cells,3,qirana_weighted_coverage,0.02879725773563229,0.03522651635838961,0.03485866817563518,-0.22325940482874795,0.0104423661713238,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.93375,0.93375,2,0
answer_cells,3,qirana_uniform_gain,0.02879725773563229,0.03522651635838961,0.03485866817563518,-0.22325940482874795,0.0104423661713238,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.93375,0.93375,2,0
answer_cells,3,qirana_shannon,0.02912317050398754,0.03544713024312299,0.03507513290168207,-0.21714530491347328,0.010494427585236893,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.9325,0.9325,2,0
answer_cells,3,querymarket_viewcover,0.07140817389455492,0.027014087642423742,0.027014087642423742,0.6216947420849304,0.0,0.05862237420615535,0.0,0.0,0.0,0.78625,0.78625,0,0
answer_cells,3,monopoly_per_asset,1.0,0.32115362469810615,0.31999682672932594,0.6788463753018938,0.0036020081351024512,0.20859794821690278,0.3333333333333333,0.20373466813981259,0.9461046513768827,0.41,0.6275,74,0
answer_cells,3,monotone_constrained,0.9348609439231583,0.28750649346567725,0.28750649346567725,0.6924606859078402,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0,0
answer_cells,4,uniform,0.6331993832726022,0.3229316854690271,0.3229316854690271,0.49,0.0,0.0,0.0,0.0,0.0,0.06375,0.06375,0,0
answer_cells,4,size_proportional,0.6107013587731788,0.3432248922860606,0.3432248922860606,0.4379824322389658,0.0,0.0,0.0,0.0,0.0,0.9725,0.9725,0,0
answer_cells,4,compute_metered,0.3161919467707073,0.2798868469233702,0.27519768182235566,0.1148198118836482,0.01675378872769373,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.8,0.85125,72,0
answer_cells,4,qirana_weighted_coverage,0.015013573051255067,0.0238210763334981,0.023663248777256056,-0.5866360560657322,0.006625542609092918,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97,0.97,2,0
answer_cells,4,qirana_uniform_gain,0.01501357305125507,0.023821076333498104,0.023663248777256056,-0.586636056065732,0.006625542609093044,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97,0.97,2,0
answer_cells,4,qirana_shannon,0.015183413250558792,0.024068100344952006,0.023908493446141536,-0.5851574311900014,0.0066314705574154875,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.96875,0.96875,2,0
