mechanism,seed,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,surplus_naive_norm,welfare_naive_norm,surplus_strategic_norm,welfare_strategic_norm,generalization_gap,mono_violation_rate,comb_violation_rate,comb_mean_gain,comb_max_gain,served_naive,served_strategic,plans_verified,plans_failed
chawla_cip,4.5,0.565165155416711,0.5507589037316097,0.5500850346580036,0.8658520093177231,1.4166109130493327,0.869797185703597,1.4198822203616006,0.012236909307164161,0.014091178211959687,0.03048048048048045,0.010721320091357038,0.7129700212996859,0.4867708333333333,0.4911041666666666,6.766666666666667,0.0
chawla_layering,4.5,0.05857418246601073,0.05707941273220866,0.05854656773384623,0.052695628153204783,0.10977504088541346,0.05830559569722257,0.11685216343106881,-0.48081242029724147,0.009591474245115424,0.024024024024024,0.016868806973580803,0.9447513088298626,0.04616666666666667,0.05608333333333334,5.333333333333333,0.0
chawla_lpip,4.5,0.5708712638946253,0.545864858736736,0.5431470721748928,0.8983581739904074,1.4442230327271435,0.9055204186073821,1.4486674907822747,0.03098777573896596,0.00544701006512724,0.01486486486486485,0.01411379223035676,0.9666666666666667,0.519625,0.5293541666666667,3.3,0.0
chawla_ubp,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828167,1.4127397272558802,0.8543977453828167,1.4127397272558802,0.018749532827514785,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0
chawla_uip,4.5,0.5713358780116586,0.5568156220550964,0.5568156220550964,0.8749519163476861,1.4317675384027824,0.8749519163476861,1.4317675384027824,0.015838915850421582,0.0,0.0,0.0,0.0,0.49806249999999996,0.49806249999999996,0.0,0.0
chawla_xos,4.5,0.5676272079343094,0.5517271529473653,0.5507426413331462,0.8386185173205801,1.3903456702679453,0.8415692975073833,1.3923119388405294,0.01472402163400226,0.010183540556542279,0.0243243243243243,0.007858867140799563,0.6587312715719179,0.4595208333333333,0.46189583333333334,5.4,0.0
compute_metered,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828168,1.4127397272558802,0.8543977453828168,1.4127397272558802,0.018749532827514806,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0
monopoly_per_asset,4.5,1.0,0.6166562939677824,0.5822916855429155,0.6609285658103877,1.27758485977817,0.7485904338699895,1.330882119412905,0.3833437060322176,0.26761397276494964,0.036036036036036,0.017463930201419342,0.8410242517550091,0.5135625,0.521875,8.0,0.0
monotone_constrained,4.5,0.8892928719404468,0.6120861857229435,0.6276286958845356,0.5172881663933937,1.1293743521163373,0.5275292142522795,1.155157910136815,0.31251811742911567,0.0,0.01846846846846845,0.005176674462976513,0.38935821177787316,0.45560416666666664,0.45749999999999996,4.1,0.0
qirana_shannon,4.5,0.46098999453880357,0.45269131460223216,0.42610971148499227,0.9220914828997707,1.374782797502003,0.9629933946172035,1.3891031061021957,0.007441431566231537,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.5226666666666666,0.5292916666666667,8.0,0.0
qirana_weighted_coverage,4.5,0.5717104835218133,0.5570643493759441,0.5570643493759441,0.8746624206862008,1.4317267700621448,0.8746624206862008,1.4317267700621448,0.015729619474359014,0.0,0.0,0.0,0.0,0.4979166666666667,0.4979166666666667,0.0,0.0
querymarket_viewcover,4.5,0.5562419856005338,0.5294742033875809,0.5294742033875809,0.7418234626307904,1.2712976660183712,0.7418234626307904,1.2712976660183712,0.04331077175022781,0.0,0.0,0.0,0.0,0.5929583333333334,0.5929583333333334,0.0,0.0
size_proportional,4.5,0.5562419856005338,0.5294742033875809,0.5294742033875809,0.7418234626307904,1.2712976660183712,0.7418234626307904,1.2712976660183712,0.04331077175022781,0.0,0.0,0.0,0.0,0.5929583333333334,0.5929583333333334,0.0,0.0
uniform,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828168,1.4127397272558802,0.8543977453828168,1.4127397272558802,0.018749532827514806,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0
