mechanism,seed_tpch,revenue_train_norm_tpch,revenue_naive_norm_tpch,revenue_strategic_norm_tpch,surplus_naive_norm_tpch,welfare_naive_norm_tpch,surplus_strategic_norm_tpch,welfare_strategic_norm_tpch,generalization_gap_tpch,mono_violation_rate_tpch,comb_violation_rate_tpch,comb_mean_gain_tpch,comb_max_gain_tpch,served_naive_tpch,served_strategic_tpch,plans_verified_tpch,plans_failed_tpch,seed_sqlshare,revenue_train_norm_sqlshare,revenue_naive_norm_sqlshare,revenue_strategic_norm_sqlshare,surplus_naive_norm_sqlshare,welfare_naive_norm_sqlshare,surplus_strategic_norm_sqlshare,welfare_strategic_norm_sqlshare,generalization_gap_sqlshare,mono_violation_rate_sqlshare,comb_violation_rate_sqlshare,comb_mean_gain_sqlshare,comb_max_gain_sqlshare,served_naive_sqlshare,served_strategic_sqlshare,plans_verified_sqlshare,plans_failed_sqlshare
chawla_cip,4.5,0.565165155416711,0.5507589037316097,0.5500850346580036,0.8658520093177231,1.4166109130493327,0.869797185703597,1.4198822203616006,0.0122369093071641,0.0140911782119596,0.0304804804804804,0.010721320091357,0.7129700212996859,0.4867708333333333,0.4911041666666666,6.766666666666667,0.0,4.5,0.565165155416711,0.5507589037316097,0.5500850346580036,0.8658520093177231,1.4166109130493327,0.869797185703597,1.4198822203616006,0.0122369093071641,0.0140911782119596,0.0304804804804804,0.010721320091357,0.7129700212996859,0.4867708333333333,0.4911041666666666,6.766666666666667,0.0
chawla_layering,4.5,0.0585741824660107,0.0570794127322086,0.0585465677338462,0.0526956281532047,0.1097750408854134,0.0583055956972225,0.1168521634310688,-0.4808124202972414,0.0095914742451154,0.024024024024024,0.0168688069735808,0.9447513088298626,0.0461666666666666,0.0560833333333333,5.333333333333333,0.0,4.5,0.0585741824660107,0.0570794127322086,0.0585465677338462,0.0526956281532047,0.1097750408854134,0.0583055956972225,0.1168521634310688,-0.4808124202972414,0.0095914742451154,0.024024024024024,0.0168688069735808,0.9447513088298626,0.0461666666666666,0.0560833333333333,5.333333333333333,0.0
chawla_lpip,4.5,0.5708712638946253,0.545864858736736,0.5431470721748928,0.8983581739904074,1.4442230327271437,0.905520418607382,1.4486674907822747,0.0309877757389659,0.0054470100651272,0.0148648648648648,0.0141137922303567,0.9666666666666668,0.519625,0.5293541666666667,3.3,0.0,4.5,0.5708712638946253,0.545864858736736,0.5431470721748928,0.8983581739904074,1.4442230327271437,0.905520418607382,1.4486674907822747,0.0309877757389659,0.0054470100651272,0.0148648648648648,0.0141137922303567,0.9666666666666668,0.519625,0.5293541666666667,3.3,0.0
chawla_ubp,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828167,1.4127397272558802,0.8543977453828167,1.4127397272558802,0.0187495328275147,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828167,1.4127397272558802,0.8543977453828167,1.4127397272558802,0.0187495328275147,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0
chawla_uip,4.5,0.5713358780116586,0.5568156220550964,0.5568156220550964,0.8749519163476861,1.4317675384027824,0.8749519163476861,1.4317675384027824,0.0158389158504215,0.0,0.0,0.0,0.0,0.4980624999999999,0.4980624999999999,0.0,0.0,4.5,0.5713358780116586,0.5568156220550964,0.5568156220550964,0.8749519163476861,1.4317675384027824,0.8749519163476861,1.4317675384027824,0.0158389158504215,0.0,0.0,0.0,0.0,0.4980624999999999,0.4980624999999999,0.0,0.0
chawla_xos,4.5,0.5676272079343094,0.5517271529473653,0.5507426413331462,0.8386185173205801,1.3903456702679453,0.8415692975073833,1.3923119388405294,0.0147240216340022,0.0101835405565422,0.0243243243243243,0.0078588671407995,0.6587312715719179,0.4595208333333333,0.4618958333333333,5.4,0.0,4.5,0.5676272079343094,0.5517271529473653,0.5507426413331462,0.8386185173205801,1.3903456702679453,0.8415692975073833,1.3923119388405294,0.0147240216340022,0.0101835405565422,0.0243243243243243,0.0078588671407995,0.6587312715719179,0.4595208333333333,0.4618958333333333,5.4,0.0
compute_metered,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828168,1.4127397272558802,0.8543977453828168,1.4127397272558802,0.0187495328275148,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0,4.5,0.5764175916818014,0.5583419818730635,0.5583419818730635,0.8543977453828168,1.4127397272558802,0.8543977453828168,1.4127397272558802,0.0187495328275148,0.0,0.0,0.0,0.0,0.4735416666666667,0.4735416666666667,0.0,0.0
monopoly_per_asset,4.5,1.0,0.6166562939677824,0.5822916855429155,0.6609285658103877,1.27758485977817,0.7485904338699895,1.330882119412905,0.3833437060322176,0.2676139727649496,0.036036036036036,0.0174639302014193,0.8410242517550091,0.5135625,0.521875,8.0,0.0,4.5,1.0,0.6166562939677824,0.5822916855429155,0.6609285658103877,1.27758485977817,0.7485904338699895,1.330882119412905,0.3833437060322176,0.2676139727649496,0.036036036036036,0.0174639302014193,0.8410242517550091,0.5135625,0.521875,8.0,0.0
monotone_constrained,4.5,0.8892928719404468,0.6120861857229435,0.6276286958845356,0.5172881663933937,1.1293743521163373,0.5275292142522795,1.155157910136815,0.3125181174291156,0.0,0.0184684684684684,0.0051766744629765,0.3893582117778731,0.4556041666666666,0.4574999999999999,4.1,0.0,4.5,0.8892928719404468,0.6120861857229435,0.6276286958845356,0.5172881663933937,1.1293743521163373,0.5275292142522795,1.155157910136815,0.3125181174291156,0.0,0.0184684684684684,0.0051766744629765,0.3893582117778731,0.4556041666666666,0.4574999999999999,4.1,0.0
qirana_shannon,4.5,0.4609899945388035,0.4526913146022321,0.4261097114849922,0.9220914828997708,1.374782797502003,0.9629933946172036,1.3891031061021957,0.0074414315662315,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.5226666666666666,0.5292916666666667,8.0,0.0,4.5,0.4609899945388035,0.4526913146022321,0.4261097114849922,0.9220914828997708,1.374782797502003,0.9629933946172036,1.3891031061021957,0.0074414315662315,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.5226666666666666,0.5292916666666667,8.0,0.0
qirana_weighted_coverage,4.5,0.5717104835218133,0.5570643493759441,0.5570643493759441,0.8746624206862008,1.4317267700621448,0.8746624206862008,1.4317267700621448,0.015729619474359,0.0,0.0,0.0,0.0,0.4979166666666667,0.4979166666666667,0.0,0.0,4.5,0.5717104835218133,0.5570643493759441,0.5570643493759441,0.8746624206862008,1.4317267700621448,0.8746624206862008,1.4317267700621448,0.015729619474359,0.0,0.0,0.0,0.0,0.4979166666666667,0.4979166666666667,0.0,0.0
