market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('446', 'underway_geomics.csv'))",222,2047.0,36.0,63.0,answer_cells,2.0,chawla_lpip,0.1037235511854732,0.32931827107142214,0.53,0.008793356130923302,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,uniform,0.6627878932858648,1.3797941632099808,0.455,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,qirana_weighted_coverage,0.010212489997894496,1.6145348408955307,0.965,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,querymarket_viewcover,0.45552595858869205,1.5990803363654467,0.7225,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,monopoly_per_asset,0.5947525725108261,1.0579290522576545,0.59,0.3157894736842105,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,chawla_ubp,0.6926171795093661,1.298073243212442,0.4025,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,0.0,chawla_lpip,0.00982397786687117,1.6169889132261974,0.98,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,uniform,0.5040538359030596,0.9478013323070277,0.395,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,qirana_weighted_coverage,0.021764910905413146,1.1451469082297088,0.7125,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,querymarket_viewcover,0.3547886516292139,1.162440520582312,0.96,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,monopoly_per_asset,0.3752267499110813,0.670206189967044,0.4725,0.47368421052631576,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,chawla_ubp,0.4795477978504519,0.7910607132899192,0.2875,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,1.0,chawla_lpip,0.023020420662925038,1.146900917551533,0.7225,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,uniform,0.7976423496478628,1.5975557716981839,0.6125,0.0,ok
