family,seed,demand_mode,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,surplus_naive_norm,welfare_naive_norm,surplus_strategic_norm,welfare_strategic_norm,generalization_gap,mono_violation_rate,comb_violation_rate,comb_mean_gain,comb_max_gain,served_naive,served_strategic,plans_verified,plans_failed
answer_cells,5,shift,compute_metered,0.5111334073554029,0.5969351783742955,0.5969351783742955,1.618240625275676,2.215175803649972,1.618240625275676,2.215175803649972,-0.1678657074340528,0.0,0.0,0.0,0.0,0.60875,0.60875,0,0
answer_cells,5,shift,qirana_weighted_coverage,0.516278029069889,0.6005554034575759,0.6005554034575759,1.6163594319149148,2.216914835372491,1.6163594319149148,2.216914835372491,-0.1632402884537205,0.0,0.0,0.0,0.0,0.62375,0.62375,0,0
answer_cells,5,shift,qirana_shannon,0.4399850328453955,0.5162648917976422,0.49206856141145,1.5806591213371142,2.0969240131347564,1.6094957901176397,2.10156435152909,-0.1733692131728725,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.56375,0.57,8,0
answer_cells,5,shift,querymarket_viewcover,0.5861456341087528,0.7434679938955628,0.7434679938955628,0.8677468936092391,1.611214887504802,0.8677468936092391,1.611214887504802,-0.2684014869888473,0.0,0.0,0.0,0.0,0.67375,0.67375,0,0
answer_cells,5,shift,monopoly_per_asset,1.0,0.885841876122661,0.915174554780352,1.0148481640120353,1.900690040134696,1.0320415640016811,1.947216118782033,0.114158123877339,0.1420959147424511,0.036036036036036,0.0091971094601809,0.773195262342024,0.55,0.555,8,0
answer_cells,5,shift,monotone_constrained,0.9704353819996792,0.9214875871732588,0.9250366237051926,0.9050211161563628,1.8265087033296217,0.906296989388726,1.8313336130939184,0.0504390047336883,0.0,0.0045045045045045,0.0019947578511085,0.4428362429460936,0.51875,0.52,1,0
answer_cells,5,shift,chawla_ubp,0.5111334073554029,0.5969351783742955,0.5969351783742955,1.6182406252756756,2.215175803649972,1.6182406252756756,2.215175803649972,-0.1678657074340528,0.0,0.0,0.0,0.0,0.60875,0.60875,0,0
answer_cells,5,shift,chawla_uip,0.5162780290698887,0.6005554034575754,0.6005554034575754,1.616359431914915,2.216914835372491,1.616359431914915,2.216914835372491,-0.16324028845372,0.0,0.0,0.0,0.0,0.62375,0.62375,0,0
answer_cells,5,shift,chawla_lpip,0.5074015807157947,0.5723889752902315,0.5723889752902315,1.6742528185187993,2.246641793809031,1.6784067776742426,2.250795752964474,-0.1280788177339902,0.0071047957371225,0.018018018018018,0.018018018018018,1.0,0.67375,0.68875,4,0
answer_cells,5,shift,chawla_cip,0.5011994306188144,0.5932309727167913,0.5935593456779658,1.6843106229710547,2.277541595687846,1.6854852575804455,2.2790446032584115,-0.1836225990607143,0.0053285968028419,0.018018018018018,0.0064228195242173,0.7461775889229303,0.68625,0.68875,4,0
answer_cells,5,shift,chawla_layering,0.0557818893426917,0.1115637786853834,0.1115637786853834,0.0443760177898108,0.1559397964751942,0.0537283312695436,0.165292109954927,-1.0,0.0053285968028419,0.018018018018018,0.018018018018018,1.0,0.04,0.05125,4,0
answer_cells,5,shift,chawla_xos,0.5116225516435419,0.6080455340966358,0.6080455340966358,1.6233847346269763,2.2314302687236123,1.6233847346269763,2.2314302687236123,-0.1884650747769887,0.0088809946714031,0.0225225225225225,0.0069551528663875,0.4038833975036688,0.63125,0.63125,5,0
answer_cells,6,stationary,uniform,0.5287770884124481,0.4893780112366185,0.4893780112366185,0.6393831201059124,1.128761131342531,0.6393831201059124,1.128761131342531,0.0745098039215688,0.0,0.0,0.0,0.0,0.295,0.295,0,0
answer_cells,6,stationary,size_proportional,0.601955283074859,0.5752630763330074,0.5752630763330074,0.8380060746236826,1.41326915095669,0.8380060746236826,1.41326915095669,0.0443425076452599,0.0,0.0,0.0,0.0,0.78,0.78,0,0
answer_cells,6,stationary,compute_metered,0.5287770884124481,0.4893780112366185,0.4893780112366185,0.6393831201059124,1.128761131342531,0.6393831201059124,1.128761131342531,0.0745098039215688,0.0,0.0,0.0,0.0,0.295,0.295,0,0
answer_cells,6,stationary,qirana_weighted_coverage,0.5369523969264327,0.4979265741659531,0.4979265741659531,0.6433588401891078,1.141285414355061,0.6433588401891078,1.141285414355061,0.0726802282359985,0.0,0.0,0.0,0.0,0.30625,0.30625,0,0
answer_cells,6,stationary,qirana_shannon,0.4458847804085561,0.4111644060793345,0.4035951011826921,0.8911390214041546,1.302303427483489,0.9039062879472956,1.3075013891299878,0.0778684894725671,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.4675,0.475,8,0
answer_cells,6,stationary,querymarket_viewcover,0.601955283074859,0.5752630763330074,0.5752630763330074,0.8380060746236826,1.41326915095669,0.8380060746236826,1.41326915095669,0.0443425076452599,0.0,0.0,0.0,0.0,0.78,0.78,0,0
answer_cells,6,stationary,monopoly_per_asset,1.0,0.6247170998581124,0.5976201439675778,0.5483952907398087,1.1731123905979213,0.6135332609909274,1.211153404958505,0.3752829001418876,0.216696269982238,0.036036036036036,0.0157135699069882,0.970576188512194,0.485,0.48875,8,0
answer_cells,6,stationary,monotone_constrained,0.9445924362602788,0.6270644579821929,0.6217673167587155,0.4592824614545698,1.0863469194367628,0.4645796026780471,1.0863469194367623,0.3361534203420111,0.0,0.018018018018018,0.002738110571394,0.3100295974757892,0.455,0.455,4,0
answer_cells,6,stationary,chawla_ubp,0.5287770884124481,0.4893780112366185,0.4893780112366185,0.6393831201059124,1.128761131342531,0.6393831201059124,1.128761131342531,0.0745098039215688,0.0,0.0,0.0,0.0,0.295,0.295,0,0
answer_cells,6,stationary,chawla_uip,0.5361658132771121,0.4970460846326459,0.4970460846326459,0.6421642765484084,1.1392103611810542,0.6421642765484084,1.1392103611810542,0.0729619973443692,0.0,0.0,0.0,0.0,0.305,0.305,0,0
answer_cells,6,stationary,chawla_lpip,0.5262390015435547,0.4956437107561388,0.4956437107561388,0.663568455323284,1.1592121660794228,0.6707891445847802,1.1664328553409191,0.0581395348837209,0.0053285968028419,0.018018018018018,0.018018018018018,1.0,0.35375,0.3675,4,0
answer_cells,6,stationary,chawla_cip,0.511835783698366,0.5069939459348776,0.5075203199273153,0.7330521092852662,1.2400460552201438,0.7332398079823615,1.2407601279096767,0.0094597484538944,0.0124333925399644,0.0315315315315315,0.0136356938763799,1.0,0.37,0.37125,7,0
