family,seed,demand_mode,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,surplus_naive_norm,welfare_naive_norm,surplus_strategic_norm,welfare_strategic_norm,generalization_gap,mono_violation_rate,comb_violation_rate,comb_mean_gain,comb_max_gain,served_naive,served_strategic,plans_verified,plans_failed
answer_cells,0,stationary,uniform,0.602401457808759,0.5375274546601234,0.5375274546601234,0.9109373893832519,1.4484648440433752,0.9109373893832519,1.4484648440433752,0.10769230769230775,0.0,0.0,0.0,0.0,0.3625,0.3625,0,0
answer_cells,0,stationary,size_proportional,0.6319377290745104,0.6521274328788079,0.6521274328788079,0.5527173903313187,1.2048448232101268,0.5527173903313187,1.2048448232101268,-0.03194888178913735,0.0,0.0,0.0,0.0,0.4975,0.4975,0,0
answer_cells,0,stationary,compute_metered,0.602401457808759,0.5375274546601234,0.5375274546601234,0.9109373893832519,1.4484648440433752,0.9109373893832519,1.4484648440433752,0.10769230769230775,0.0,0.0,0.0,0.0,0.3625,0.3625,0,0
answer_cells,0,stationary,qirana_weighted_coverage,0.6012589992930552,0.5517050406885924,0.5517050406885924,0.9771754151753181,1.5288804558639104,0.9771754151753181,1.5288804558639104,0.08241699278135883,0.0,0.0,0.0,0.0,0.425,0.425,0,0
answer_cells,0,stationary,qirana_shannon,0.49963087757267016,0.461741088116719,0.4536985270248125,1.145026605197548,1.606767693314267,1.1553711896303331,1.6090697166551458,0.07583556412691916,0.6305506216696269,0.036036036036036036,0.025317013778577813,0.9349515051876163,0.6,0.6025,8,0
answer_cells,0,stationary,querymarket_viewcover,0.6319377290745104,0.6521274328788079,0.6521274328788079,0.5527173903313187,1.2048448232101268,0.5527173903313187,1.2048448232101268,-0.03194888178913735,0.0,0.0,0.0,0.0,0.4975,0.4975,0,0
answer_cells,0,stationary,monopoly_per_asset,1.0,0.6380983551765752,0.5796890512299103,0.7912406308768549,1.4293389860534302,0.8508478739751095,1.4305369252050197,0.3619016448234248,0.2824156305506217,0.036036036036036036,0.01763427591173531,0.944261608453026,0.47625,0.4775,8,0
answer_cells,0,stationary,monotone_constrained,0.9611638079590402,0.713586946941367,0.713586946941367,0.6734607268191127,1.3870476737604798,0.6734607268191127,1.3870476737604798,0.2575802989746193,0.0,0.009009009009009009,0.0013017579262203302,0.19785137588747662,0.46125,0.46125,2,0
answer_cells,0,stationary,chawla_ubp,0.602401457808759,0.5375274546601234,0.5375274546601234,0.9109373893832519,1.4484648440433754,0.9109373893832519,1.4484648440433754,0.10769230769230764,0.0,0.0,0.0,0.0,0.3625,0.3625,0,0
answer_cells,0,stationary,chawla_uip,0.6010912113206056,0.548788582455027,0.548788582455027,0.9714307853958979,1.520219367850925,0.9714307853958979,1.520219367850925,0.08701279919010774,0.0,0.0,0.0,0.0,0.41875,0.41875,0,0
answer_cells,0,stationary,chawla_lpip,0.597318423685226,0.533189145068714,0.533189145068714,0.9229380764865365,1.4561272215552505,0.9342276681939845,1.4674168132626986,0.1073619631901842,0.003552397868561279,0.009009009009009009,0.009009009009009009,1.0,0.3725,0.41,2,0
answer_cells,0,stationary,chawla_cip,0.5897549353578754,0.5194073197117856,0.5210789297491882,0.8722319881838694,1.391639307895655,0.8729895234861741,1.3940684532353624,0.1192827926118184,0.010657193605683837,0.02702702702702703,0.01160562896034529,0.9151432888937302,0.3275,0.3325,6,0
answer_cells,0,stationary,chawla_layering,0.031059369873827097,0.1552968493691355,0.1552968493691355,0.08940979942096247,0.24470664879009796,0.09386768020118992,0.2491645295703254,-4.000000000000001,0.0053285968028419185,0.018018018018018018,0.018018018018018018,1.0,0.0425,0.05375,4,0
answer_cells,0,stationary,chawla_xos,0.5882752711953103,0.5185823378352863,0.5202539478726889,0.8702018727831494,1.3887842106184356,0.870959408085454,1.391213355958143,0.11846993537296868,0.010657193605683837,0.02702702702702703,0.009479654846149847,0.9151432888937302,0.325,0.33,6,0
answer_cells,0,shift,uniform,0.602401457808759,0.5801589424435124,0.5801589424435124,0.9185269363891303,1.4986858788326427,0.9185269363891303,1.4986858788326427,0.03692307692307706,0.0,0.0,0.0,0.0,0.39125,0.39125,0,0
answer_cells,0,shift,size_proportional,0.6319377290745104,0.683084978712064,0.683084978712064,0.6177282698146389,1.3008132485267028,0.6177282698146389,1.3008132485267028,-0.0809371671991479,0.0,0.0,0.0,0.0,0.60625,0.60625,0,0
answer_cells,0,shift,compute_metered,0.602401457808759,0.5801589424435124,0.5801589424435124,0.9185269363891303,1.4986858788326427,0.9185269363891303,1.4986858788326427,0.03692307692307706,0.0,0.0,0.0,0.0,0.39125,0.39125,0,0
answer_cells,0,shift,qirana_weighted_coverage,0.6012589992930552,0.6168005316227361,0.6168005316227361,0.9835951050201523,1.6003956366428884,0.9835951050201523,1.6003956366428884,-0.02584831553116751,0.0,0.0,0.0,0.0,0.46875,0.46875,0,0
answer_cells,0,shift,qirana_shannon,0.49963087757267016,0.47350797945139594,0.45797401078226263,1.2396011319301254,1.7131091113815213,1.2600422439633658,1.7180162547456284,0.05228439492808301,0.6305506216696269,0.036036036036036036,0.025317013778577813,0.9349515051876163,0.62125,0.62625,8,0
answer_cells,0,shift,querymarket_viewcover,0.6319377290745104,0.683084978712064,0.683084978712064,0.6177282698146389,1.3008132485267028,0.6177282698146389,1.3008132485267028,-0.0809371671991479,0.0,0.0,0.0,0.0,0.60625,0.60625,0,0
answer_cells,0,shift,monopoly_per_asset,1.0,0.6627171651412012,0.6017185450845751,0.8938835027556268,1.556600667896828,0.9594553576235024,1.5611739027080775,0.33728283485879884,0.2824156305506217,0.036036036036036036,0.01763427591173531,0.944261608453026,0.5175,0.52,8,0
